Serial§Event§Code region§region§Code district§district§Code village§village§Location§Date (YMD)§Comments§Cause§Description of Cause§Source§Magnitude§GLIDEnumber§Other sectors§DataCards§Deaths§Injured§Missing§Houses Destroyed§Houses Damaged§Victims§Affected§Relocated§Evacuated§Losses $USD§Losses $Local§Education centers§Hospitals§Damages in crops Ha.§Duration (d)§fichas.latitude§fichas.longitude§Formula§Dead of Male§Dead of Female§Additional Loss from Fire(NRs)§Type of Relief provided§Relief
71015§THUNDERSTORM§002§Central Region§002005027§Kathmandu§002005027031§KATHMANDU METROPOLITAN CITY§Near Gaddhi Darwar§1971/4/7§The top part of the temple was damaged.§OTHER§§Gorkhapatra, 1971-4-8§§§§1§§§§§§§§§§§§§§§§§§§§§§§
71016§STORM§002§Central Region§002005027§Kathmandu§002005027031§KATHMANDU METROPOLITAN CITY§Dharmasthali§1971/4/10§The roof of the school was blown away.§OTHER§§Gorkhapatra, 1971-4-11§§§§1§§§§§§§§§§§§1§§§§§§§§§§§
71018§THUNDERSTORM§002§Central Region§002005026§Bhaktapur§002005026004§BHAKTAPUR NP§Katunje§1971/4/12§The injured person was from Chainpur, Eastern Nepal.§OTHER§§Gorkhapatra,1971-4-13§§§§1§§3§§§§§§§§§§§§§§§§§§§§§
71020§THUNDERSTORM§004§Mid-Western Region§004011055§Salyan§004011055037§CHANDE  KARANGI§Chaiwang§1971/4/19§§OTHER§§Gorkhapatra, 1971-4-20§§§§1§4§§§§§§§§§§§§§§§§§§§§§§
71021§STORM§003§Western Region§003008038§Tanahu§003008038015§VYAS_NP_(DAMAULI)§Damauli§1971/4/21§§OTHER§§Gorkhapatra, 1971-4-22§§§§1§1§§§§§§§§§§§1§§§§§§§§§§§
71023§RAINS§002§Central Region§002005026§Bhaktapur§002005026004§BHAKTAPUR NP§Bhaktapur§1971/4/23§The affected area and the amount of loss was not given. This rain was reported to be the highest within the last seventy years.§OTHER§§Gorkhapatra, 1971-4-24§§§§1§§§§§§§§§§§§§§§15§§§§§§§§
71024§HAIL STORM§002§Central Region§002004023§Sindhupalchoke§§§§1971/4/25§The affected areas and the amount of loss was not reported.§OTHER§Rain was also accompained.§Gorkhapatra, 1971-4-28§§§§1§§§§§§§§§§§§§§§§§§§§§§§
71026§HAIL STORM§004§Mid-Western Region§004012057§Banke§004012057030§NEPALGANJ N.P.§§1971/4/29§Rabi field was affected.§OTHER§§Gorkhapatra, 1971-4-30§§§§1§§§§§§§§§§§§§§§§§§§§§§§
71028§HAIL STORM§003§Western Region§003008039§Syangja§003008039062§BAHAKOT§Barahakot§1971/5/5§Two feet thick ice was piled up§OTHER§§gorkhapatra, 1971-5-6§1 inch§§§1§1§§2§§§§§§§§§§§§§§§§§§§§
71030§RAINS§002§Central Region§002006018§Mahotari§002006018030§Matihani§Maitihani§1971/5/8§Corn, oilseed, beans, wheat field was lost§OTHER§heavy rain with strom§Gorkhapatra, 1971-5-9§§§§1§§§§§§§§§§§§§§§15§§§§§§§§
71032§RAINS§002§Central Region§002006017§Dhanusa§002006017049§Janakpur Municipality§§1971/5/8§Paddy, wheat, dal, almond were damaged§OTHER§§Gorkhapatra, 1971-5-9§§§§1§§§§1§§§§§§§§§§§§§§§§§§§
71033§HAIL STORM§002§Central Region§002004023§Sindhupalchoke§002004023046§Chautara§Bhotechour§1971/5/19§200 muri wheat field was damaged.§OTHER§§Gorkhapatra, 1971-5-20§§§§1§§§§§§§§§§§§§§§§§§§§§§§
71034§RAINS§002§Central Region§002006019§Sarlahi§§§all the terai areas of Eastern and Central Region§1971/5/21§70-75% crop was heavily affected in all terai areas§OTHER§§Gorkhapatra, 1971-5-22§§§§1§§§§§§§§§§§§§§§15§§§§§§§§
71037§RAINS§002§Central Region§002005026§Bhaktapur§002005026004§BHAKTAPUR NP§Bholachhetole§1971/5/26§§OTHER§§Gorkhapatra, 1974-5-27§§§Not mentioned§1§§§§§1§§§§§§§§§§§§§§§§§§
71040§THUNDERSTORM§003§Western Region§003008038§Tanahu§§§Nabuk§1971/6/6§§OTHER§§Gorkhapatra, 1971-6-7§§§§1§2§§§§§§§§§§§§§§§§§§§§§§
71044§RAINS§002§Central Region§002005026§Bhaktapur§002005026002§BALKOT§Degnani§1971/6/15§100 ropani of agricultural field was destroyed.§OTHER§§Gorkhapatra, 1971-6-16§§§§1§§4§§§3§§§§§§§§§§§§§§§§§§
71052§RAINS§002§Central Region§002004023§Sindhupalchoke§002004023041§Barahbise§§1971/6/18§§OTHER§§Gorkhapatra, 1971-6-19§§§not mentioned§1§§§§§§§§§§§§§§§§§§§§§§§
71061§RAINS§002§Central Region§002005026§Bhaktapur§002005026011§DUWAKOT§§1971/6/23§§OTHER§§Gorkhapatra, 1971-6-24§§§§1§§§§2§§§§§§§§§§§§§§§§§§§
71076§THUNDERSTORM§001§Eastern Region§001003004§Jhapa§001003004034§HALDIBARI§§1971/7/21§§OTHER§§Gorkhapatra, 1971-7-22§§§§1§2§§§§§§§§§§§§§§§§§§§§§§
71080§RAINS§002§Central Region§002006019§Sarlahi§§§§1971/7/27§Maize, corn, and area 20,000  bigha§OTHER§§Gorkhapatra, 1971-7-28§§§§1§§§§§§§§§§§§§§§§§§§§§§§
71095§RAINS§002§Central Region§002004029§Rasuwa§002004029005§Bhorle§Garanga and Budlim§1971/8/21§Maize, millet and potato were heavily damaged.§OTHER§§Gorkhapatra, 1971-8-22§§§§1§§§§§§§§§§§§§§§§§§§§§§§
71098§RAINS§003§Western Region§003008047§Palpa§003008047060§TANSEN  N.P.§§1971/8/26§Maize field was affected.§OTHER§§gorkhapatra, 1971-8-27§§§§1§§§§§§§§§§§§§§§14§§§§§§§§
71104§RAINS§002§Central Region§002006019§Sarlahi§002006019097§MALANGAWA MUN§§1971/9/7§Sugarcane was damaged.§OTHER§§Gorkhapatra, 1971-9-8§§§§1§§§§§§§§§§§§§§§§§§§§§§§
71106§RAINS§004§Mid-Western Region§004011060§Dailekh§§§§1971/9/10§3 bridges were collapsed.§OTHER§§Gorkhapatra, 1971-9-17§§§§1§27§§§14§§§§§§§§§§§§§§§§§§§
71112§HAIL STORM§003§Western Region§003008039§Syangja§003008039004§ARUKHARKA§Andikhola§1971/11/20§Millet, wheat, paddy, phapar etc were damaged.§OTHER§§Gorkhapatra, 1971-11-21§§§§1§§§§§§§§§§§§§§§§§§§§§§§
71113§HAIL STORM§001§Eastern Region§001003004§Jhapa§§§§1971/11/20§Paddy field was damaged.§OTHER§§Gorkhapatra, 1971-11-21§§§§1§§§§§§§§§§§§§§§§§§§§§§§
72005§HAIL STORM§002§Central Region§002005027§Kathmandu§002005027031§KATHMANDU METROPOLITAN CITY§Kathmandu§1972/3/5§wheat and potato were damaged.§OTHER§§Gorkhapatra, 1972-3-6§§§§1§§§§§§§§§§§§§§§§§§§§§§§
72011§STORM§002§Central Region§002004023§Sindhupalchoke§002004023073§Ramche§Ratankot§1972/3/30§§OTHER§§Gorkhapatra, 1972-3-31§§§§1§3§§§§§§§§§§§§§§§§§§§§§§
72012§HAIL STORM§002§Central Region§002005027§Kathmandu§002005027031§KATHMANDU METROPOLITAN CITY§Kathmandu§1972/3/31§The effect was also observed in Lalitpur and Bhaktapur.§OTHER§§Gorkhapatra, 1972-4-1§§§§1§§§§§§§§§§§§§§§§§§§§§§§
72018§HAIL STORM§002§Central Region§002004029§Rasuwa§002004029008§Ramche§§1972/4/10§The amount of loss is not known.§OTHER§§Gorkhapatra, 1972-4-12§§§§1§§§§§§§§§§§§§§§§§§§§§§§
72022§THUNDERSTORM§002§Central Region§002005026§Bhaktapur§002005026006§CHANGUNARAYAN§Ward No.3§1972/4/17§§OTHER§§Gorkhapatra, 1972-4-19§§§Grains equal to 600 kg was burnt.§1§§§§§§§§§§§§§§§§§§§§§§§
72037§STORM§003§Western Region§003008038§Tanahu§003008038015§VYAS_NP_(DAMAULI)§Damauli§1972/5/19§A bridge across Prithvi Highway was damaged. Roofs of most of the houses in Damauli were blown away. The roofs of NBL, Office of General Administration and Nirmal High School was also blown away. Two cranes were broken.§OTHER§§Gorkhapatra, 1972-5-23§§§§1§§§§§§§§§§§§1§§§§§§§§§§§
72039§HAIL STORM§002§Central Region§002006035§Chitawan§002006035005§BHARATPUR N.P.§Purbi Chitawan§1972/5/19§Some hails were about 2 kg. Cattles and many wild animals were killed.§OTHER§§Gorkhapatra, 1972-5-27§§§§1§3§1§§§§§§§§§§§§§§§§§§§§§
72040§STORM§002§Central Region§002006018§Mahotari§002006018034§Jaleswar Municipalit§Jaleswor, Sugagaun§1972/5/26§Roofs of 50 houses were blown away.§OTHER§§Gorkhapatra, 1972-5-27§§§§1§§§§§50§§§§§§§§§§§§§§§§§§
72047§HAIL STORM§003§Western Region§003008040§Kaski§§§Bhandardhik§1972/6/6§Area equivalent to 126,000 kg of rice was damaged.§OTHER§§Gorkhapatra, 1972-6-12§§§§1§§§§§30§§§§§§§§§§§§§§§§§§
72066§RAINS§002§Central Region§002005026§Bhaktapur§002005026013§JHAUKHEL§Ward No. 7, Jhaunkhel§1972/7/29§Three buffaloes died at the spot.§OTHER§§Gorkhapatra, 1972-7-30§§§§1§§§§1§§§§§§§§§§§§§§§§§§§
72067§RAINS§002§Central Region§002005026§Bhaktapur§002005026004§BHAKTAPUR NP§Bolachhe Tole§1972/7/29§§OTHER§§Gorkhapatra, 1972-7-30§§§River embankments were eroded.§1§§§§1§§§§§§§§§§§§§§§§§§§
72091§RAINS§002§Central Region§002005027§Kathmandu§002005027035§MAHANKAL§Mahankar adarsa gaun§1972/8/2§7 houses were about to be damaged by ground fissuring. Area that could produce  equivalent to 55 moori rice was flooded.§HEAVY RAINS§§Gorkhapatra, 1972-8-28§§§§1§§§§4§§§§§§§§§§§§§§§§§§§
72115§SNOW STORM§004§Mid-Western Region§004010063§Jumla§§§§1972/10/30§Millet and paddy field was damaged.§OTHER§§Gorkhapatra, 1972-10-31§§§§1§§§§§§§§§§§§§§§§§§§§§§§
73003§THUNDERSTORM§002§Central Region§002005027§Kathmandu§002005027013§DAHACHOK§Dadapauwa ward no. 7§1973/1/9§§OTHER§§Gorkhapatra, Y-72, No. 245§§§§1§§§§1§§§§§§§§§§§§§§§§§§§
73004§HAIL STORM§004§Mid-Western Region§004012057§Banke§§§Most of the villages of the district§1973/1/8§Mustard was lost§OTHER§§Gorkhapatra, Y-72, No. 245§§§§1§§§§§§§§§§§§§§§1§§§§§§§§
73005§HAIL STORM§002§Central Region§002006017§Dhanusa§002006017046§Hariharpur§Also other 5 VDCs of the District§1973/1/22§Tobacco field was damaged.§OTHER§§Gorkhapatra, Y-72, No. 257§§§§1§§§§§§§§§§§§§§§§§§§§§§§
73009§SNOW STORM§004§Mid-Western Region§004010063§Jumla§§§Between Humla and Mugu§1973/2/16§One person was died by falling snow over him§OTHER§§Gorkhapatra, 1973-2-17, Y-72, No. 283§§§§1§1§§§§§§§§§§§§§§§§§§§§§§
74048§THUNDERSTORM§001§Eastern Region§001003005§Morang§001003005066§Biratnagar Municipality§Ward No. 8§1974/3/27§Jute placed in house was destroyed fire fire. §OTHER§§Gorkhapatra, 1974-3-28§§§§1§§§§1§§§§§§§3000§§§§§§§§§§§§
74058§THUNDERSTORM§002§Central Region§002005020§Sindhuli§002005020016§Netrakali§Ward No. 1§1974/4/5§§OTHER§§Gorkhapatra, 1974-4-6§§§§1§1§2§§§7§§§§§§250000§§§§§§§§§§§§
73039§SNOW STORM§004§Mid-Western Region§004010063§Jumla§004010063017§KUDARI§Khali§1973/4/2§§OTHER§§Gorkhapatra, 1973-4-2, Y-72, N 327§§§§1§1§§§§§§§§§§§§§§§§§§§§§§
74078§STRONG WIND§001§Eastern Region§001003005§Morang§001003005066§Biratnagar Municipality§§1974/4/30§Morang sugar mills and Raghupati jute mills closed for several days. Compound wall collapsed. Telophene blocked for several days.§OTHER§§Gorkhapatra, 1974-5-1§§§§1§1§51§§§100§§§§§§§§§§§§§§§§§§
74084§THUNDERSTORM§001§Eastern Region§001003004§Jhapa§001003004021§GHAILADUWA§Ward No. 4§1974/5/14§§OTHER§§Gorkhapatra, 1974-5-14§§§§1§1§1§§§§§§§§§§§§§§§§§§§§§
74089§STRONG WIND§002§Central Region§002006035§Chitawan§002006035005§BHARATPUR N.P.§§1974/5/20§§OTHER§§Gorkhapatra, 1974-5-21§§§§1§§§§70§§§§§§§§§§§§§§§§§§§
74090§STRONG WIND§003§Western Region§003008047§Palpa§003008047060§TANSEN  N.P.§§1974/5/20§§OTHER§§Gorkhapatra, 1974-5-21§§§§1§§§§§7§§§§§§§§§§§§§§§§§§
74091§THUNDERSTORM§001§Eastern Region§001003015§Saptari§§§§1974/5/20§§OTHER§§Gorkhapatra, 1974-5-22§§§§1§1§§§§§§§§§§§§§§§§§§§§§§
74093§THUNDERSTORM§002§Central Region§002005028§Nuwakot§002005028042§NARJAMAND§Narja ganesh§1974/6/9§§OTHER§§Gorkhapatra, 1974-6-10§§§§1§1§§§§§§§§§§§§§§§§§§§§§§
74104§THUNDERSTORM§001§Eastern Region§001003004§Jhapa§001003004024§CHAKCHAKI§Ward No. 5§1974/7/9§Some cattles were also dead.§OTHER§§Gorkhapatra, 1974-7-10§§§§1§§§§1§§§§§§§§§§§§§§§§§§§
74105§THUNDERSTORM§002§Central Region§002005030§Dhading§002005030028§LAPA§§1974/7/16§§HEAVY RAINS§§Gorkhapatra, 1974-7-18§§§§1§2§2§§§§§103§§§§§§§§§§§§§§§§
74144§THUNDERSTORM§004§Mid-Western Region§004011059§Surkhet§§§Bayalkanda§1974/8/21§§OTHER§§Gorkhapatra, 1974-8-23§§§§1§1§§§§§§§§§§§§§§§§§§§§§§
74145§THUNDERSTORM§002§Central Region§002006017§Dhanusa§002006017049§Janakpur Municipality§§1974/8/24§The thundebolt hit the equipment used for water supply. Therefore the distribution of water of supply was stopped in the Janakpur Municipality.§OTHER§§Gorkhapatra, 1974-8-25§§§§1§§§§§§§§§§§§§§§§§§§§§§§
74147§RAINS§002§Central Region§002004023§Sindhupalchoke§002004023053§Tauthali§§1974/8/11§The maize of 254 ha was damaged by continuous rainfal (Excess rainfalll) for several days.§HEAVY RAINS§§Gorkhapatra, 1974-8-26§§§§1§§§§§§§§§§§§§§254§§§§§§§§§
75088§STRONG WIND§005§Far Western Region§005014070§Doti§005014070013§DIPAYAL SILGADHI§Indrachok§1975/6/29§§OTHER§§Gorkhapatra,1975-7-3,Y-75,N-58§§§§1§§§§§3§§§§§§§§§§§§§§§§§§
75101§THUNDERSTORM§004§Mid-Western Region§004010063§Jumla§§§Tiprikot, Depal§1975/7/6§§OTHER§§Gorkhapatra,1975-8-8,Y-75,N-94§§§§1§1§§§§§§§§§§§§§§§§§§§§§§
75014§HAIL STORM§005§Far Western Region§005015071§Kailali§005015071017§JANAKINAGAR§§1975/3/17§Equipment lost§HEAVY RAINS§Hail> 500 g§Gorkhapatra, 1975-3-18, Y-74,N-312§§§§1§10§§§§§§§§§§30000§§§§1§§§§§§§§
75117§THUNDERSTORM§001§Eastern Region§001003004§Jhapa§001003004047§DHAIJAN§§1975/8/31§§OTHER§§Gorkhapatra,1975-9-1,Y-75,N-118§§§§1§1§2§§§§§§§§§§§§§§§§§§§§§
75121§STRONG WIND§004§Mid-Western Region§004012056§Dang§§§Ghorahi§1975/9/3§Block road for Few days due to Landslide§OTHER§§Gorkhapatra,1975-9-5,Y-75,N-122§§§§1§§§§§§§§§§§§§§§§§§§§§§§
75125§THUNDERSTORM§004§Mid-Western Region§004012056§Dang§004012056010§GOBARDIHA§Ghanauri§1975/9/9§§OTHER§§Gorkhapatra,1975-9-11,Y-75,N-128§§§§1§1§§§§§§§§§§§§§§§§§§§§§§
74193§THUNDERSTORM§004§Mid-Western Region§004012056§Dang§§§Bhaskurma, Gairakhuti§1974/10/2§§OTHER§§Gorkhapatra, 1974-10-3, Y74, N150§§§§1§2§30§§§§§§§§§§§§§§§§§§§§§
75142§THUNDERSTORM§002§Central Region§002005031§Makwanpur§§§Ghopte Am Bhanjyang§1975/10/22§§OTHER§A boy became blind and blackish due to Thunderstorm§Gorkhapatra,1975-10-23,Y-75,N-167§§§§1§§1§§§§§§§§§§§§§§§§§§§§§
73125§THUNDERSTORM§004§Mid-Western Region§004012056§Dang§§§Laharechour§1973/6/27§§OTHER§§Gorkhapatra,1973-7-1,Y-73,N-57§§§§1§1§2§§§§§§§§§§§§§§§§§§§§§
73131§HAIL STORM§004§Mid-Western Region§004010063§Jumla§§§Chinasim Adarsha §1973/7/9§§OTHER§§Gorkhapatra,1973-7-10,Y-73,N-66§§§ 195 muri of wheat and barley was lossed §1§§§§§§§§§§§§§§§§§§§§§§§
73136§THUNDERSTORM§004§Mid-Western Region§004012056§Dang§004012056002§BAGHMARE§§1973/7/20§§OTHER§§Gorkhapatra,1973-7-22,Y-73,N-78§§§§1§1§§§§1§§§§§§§§§§§§§§§§§§
73074§STORM§003§Western Region§003008038§Tanahu§003008038015§VYAS_NP_(DAMAULI)§Bazar Area§1973/4/24§Almost all offices' roof was blown away.§OTHER§§Gorkhapatra, 1973-4-25, Y72, N348§§§§1§§§§§2§§§§§§600000§§§§§§§§§§§§
73081§THUNDERSTORM§001§Eastern Region§001003005§Morang§001003005066§Biratnagar Municipality§§1973/4/29§Many people were injured and electricity supply was ceased for 24 hours.§OTHER§§Gorkhapatra, 1973-4-29, Y72, N352§§§§1§3§§§§§§120§§§§§§§§§§§§§§§§
73089§HAIL STORM§004§Mid-Western Region§004012056§Dang§§§Laharechaur, Ganeshpur§1973/4/30§Old people said that the hails in this time were the largest than before.§OTHER§§Gorkhapatra, 1973-5-4, Y72, N357§§§§1§§§§§§§§§§§§§§§§§§§§§§§
73096§STORM§001§Eastern Region§001002007§Dhankuta§001002007018§DHANKUTA  MUNICIPALITY§§1973/5/12§The roof of Dhankuta Hospital was blown and five people were injured.§OTHER§§Gorkhapatra, 1973-5-14, Y73, N9§§§§1§§5§§§25§§§§§§§§§§§§§§§§§§
73156§STRONG WIND§002§Central Region§002005027§Kathmandu§002005027031§KATHMANDU METROPOLITAN CITY§§1973/8/23§Some damaged in different stations at kathamandu. 30 ft wall collapsed.§OTHER§Very strong wind§Gorkhapatra,1973-8-24,Y-73,N-110§§§§1§§1§§§1§§§§§§§§§§§§§§§§§§
73099§STRONG WIND§005§Far Western Region§005015072§Kanchanpur§005015072011§MAHENDRA NAGAR N.P.§§1973/5/16§There was wall collapse and one people was killed.§OTHER§§Gorkhapatra, 1973-5-20, Y73, N15§§§§1§1§§§§§§§§§§§§§§§§§§§§§§
73100§STRONG WIND§005§Far Western Region§005015071§Kailali§005015071010§DHANGADHI MUNICIPALITY§§1973/5/16§§§§Gorkhapatra, 1973-5-20, Y73, N15§§§§1§§§§§2§§§§§§§§§§§§§§§§§§
73107§THUNDERSTORM§002§Central Region§002005027§Kathmandu§002005027031§KATHMANDU METROPOLITAN CITY§Koteshwor§1973/5/30§One cow was killed by Thunderbolt.§OTHER§§Gorkhapatra, 1973-6-3, Y73, N29§§§§1§§§§§§§§§§§§§§§§§§§§§§§
73108§STRONG WIND§004§Mid-Western Region§004010063§Jumla§§§§1973/6/6§House collapsed and two children were killed.§OTHER§§Gorkhapatra, 1973-6-6, Y73, N32§§§§1§2§§§§1§§§§§§§§§§§§§§§§§§
73110§STRONG WIND§005§Far Western Region§005015071§Kailali§005015071010§DHANGADHI MUNICIPALITY§§1973/6/6§Whole day electricity supply was cut.§OTHER§§Gorkhapatra, 1973-6-6, Y73, N32§§§§1§3§§§§3§§§§§§§§§§§§§§§§§§
73161§THUNDERSTORM§003§Western Region§003009049§Rupandehi§§§Harpur§1973/9/5§§OTHER§§Gorkhapatra,1973-9-5,Y-73,N-123§§§§1§1§1§§§§§§§§§§§§§§§§§§§§§
75054§THUNDERSTORM§003§Western Region§003008046§Gulmi§003008046073§TAMGHAS§Local Bazar§1975/4/22§§OTHER§In School§Gorkhapatra,1975-4-25,Y-74,N-349§§§§1§1§7§§§§§§§§§§§§§§§§§§§§§
75055§HAIL STORM§003§Western Region§003008040§Kaski§003008040040§SARANGKOT§§1975/4/26§§OTHER§4 dead from hail Strom in different wards of VDC§Gorkhapatra,1975-4-28,Y-74,N-352§§§§1§4§§§§§§§§§§§§§§§§§§§§§§
75057§HAIL STORM§003§Western Region§003008040§Kaski§003008040028§MAUJA§Mandridhunga-1,2 and Chapakot§1975/4/28§§OTHER§Couses of dead due to day time §Gorkhapatra,1975-5-1,Y-74,N-355§§§§1§7§§§§§§§§§§§§§§§§§§§§§§
75065§STORM§002§Central Region§002006019§Sarlahi§002006019037§PHARAHADAWA§Pharakchour,§1975/5/15§9 house Roofs were damaged, The Same day's strom roofs of more than 200 houses in sanjoor VDC of Sarlai§OTHER§§Gorkhapatra,1975-5-16,Y-75,N-10§§§§1§2§§§§9§§§§§§8500§§§§7§§§§§§§§
73180§RAINS§001§Eastern Region§001002007§Dhankuta§§§Lenigale§1973/10/8§20% reduced on production winter crops§HEAVY RAINS§Damaged 20% on production§Grokhapatra,1973-10-9,Y-73,N-154§§§§1§§§§§§§§§§§§§§§§§§§§§§§
